learner_id,learner_name,team,role,certification_id,exam_voucher_cost
L001,Contoso Learner 001,Platform,Engineer,CERT-AZURE-001,450
L002,Contoso Learner 002,Security,Architect,CERT-AZURE-001,450
L003,Contoso Learner 003,Data,Analyst,CERT-AZURE-001,450
L004,Contoso Learner 004,Applications,Engineer,CERT-AZURE-001,450
L005,Contoso Learner 005,Platform,Architect,CERT-AZURE-001,450
L006,Contoso Learner 006,Security,Analyst,CERT-AZURE-001,450
L007,Contoso Learner 007,Data,Engineer,CERT-AZURE-001,450
L008,Contoso Learner 008,Applications,Architect,CERT-AZURE-001,450
L009,Contoso Learner 009,Platform,Analyst,CERT-AZURE-001,450
L010,Contoso Learner 010,Security,Engineer,CERT-AZURE-001,450
L011,Contoso Learner 011,Data,Architect,CERT-AZURE-001,450
L012,Contoso Learner 012,Applications,Analyst,CERT-AZURE-001,450
L013,Contoso Learner 013,Platform,Engineer,CERT-AZURE-001,450
L014,Contoso Learner 014,Security,Architect,CERT-AZURE-001,450
L015,Contoso Learner 015,Data,Analyst,CERT-AZURE-001,450
L016,Contoso Learner 016,Applications,Engineer,CERT-AZURE-001,450
L017,Contoso Learner 017,Platform,Architect,CERT-AZURE-001,450
L018,Contoso Learner 018,Security,Analyst,CERT-AZURE-001,450
L019,Contoso Learner 019,Data,Engineer,CERT-AZURE-001,450
L020,Contoso Learner 020,Applications,Architect,CERT-AZURE-001,450
L021,Contoso Learner 021,Platform,Analyst,CERT-AZURE-001,450
L022,Contoso Learner 022,Security,Engineer,CERT-AZURE-001,450
L023,Contoso Learner 023,Data,Architect,CERT-AZURE-001,450
L024,Contoso Learner 024,Applications,Analyst,CERT-AZURE-001,450
L025,Contoso Learner 025,Platform,Engineer,CERT-AZURE-001,450
L026,Contoso Learner 026,Security,Architect,CERT-AZURE-001,450
L027,Contoso Learner 027,Data,Analyst,CERT-AZURE-001,450
L028,Contoso Learner 028,Applications,Engineer,CERT-AZURE-001,450
L029,Contoso Learner 029,Platform,Architect,CERT-AZURE-001,450
L030,Contoso Learner 030,Security,Analyst,CERT-AZURE-001,450
L031,Contoso Learner 031,Data,Engineer,CERT-AZURE-001,450
L032,Contoso Learner 032,Applications,Architect,CERT-AZURE-001,450
L033,Contoso Learner 033,Platform,Analyst,CERT-AZURE-001,450
L034,Contoso Learner 034,Security,Engineer,CERT-AZURE-001,450
L035,Contoso Learner 035,Data,Architect,CERT-AZURE-001,450
L036,Contoso Learner 036,Applications,Analyst,CERT-AZURE-001,450
L037,Contoso Learner 037,Platform,Engineer,CERT-AZURE-001,450
L038,Contoso Learner 038,Security,Architect,CERT-AZURE-001,450
L039,Contoso Learner 039,Data,Analyst,CERT-AZURE-001,450
L040,Contoso Learner 040,Applications,Engineer,CERT-AZURE-001,450
L041,Contoso Learner 041,Platform,Architect,CERT-AZURE-001,450
L042,Contoso Learner 042,Security,Analyst,CERT-AZURE-001,450
L043,Contoso Learner 043,Data,Engineer,CERT-AZURE-001,450
L044,Contoso Learner 044,Applications,Architect,CERT-AZURE-001,450
L045,Contoso Learner 045,Platform,Analyst,CERT-AZURE-001,450
L046,Contoso Learner 046,Security,Engineer,CERT-AZURE-001,450
L047,Contoso Learner 047,Data,Architect,CERT-AZURE-001,450
L048,Contoso Learner 048,Applications,Analyst,CERT-AZURE-001,450
L049,Contoso Learner 049,Platform,Engineer,CERT-AZURE-001,450
L050,Contoso Learner 050,Security,Architect,CERT-AZURE-001,450
L051,Contoso Learner 051,Data,Analyst,CERT-AZURE-001,450
L052,Contoso Learner 052,Applications,Engineer,CERT-AZURE-001,450
L053,Contoso Learner 053,Platform,Architect,CERT-AZURE-001,450
L054,Contoso Learner 054,Security,Analyst,CERT-AZURE-001,450
L055,Contoso Learner 055,Data,Engineer,CERT-AZURE-001,450
L056,Contoso Learner 056,Applications,Architect,CERT-AZURE-001,450
