learner_id,employee_id,full_name,email,role,department,region,manager_id,employment_status,role_requires_certification,hire_date,source_system
L00001,E00001,Learner 00001,learner00001@example.com,Security Analyst,Security,APAC,M011,Active,True,2022-08-01,HRIS
L00002,E00002,Learner 00002,learner00002@example.com,Customer Success Manager,Customer Success,APAC,M034,Active,True,2023-04-07,HRIS
L00003,E00003,Learner 00003,learner00003@example.com,Sales Engineer,Sales,EMEA,M040,Active,True,2022-12-16,HRIS
L00004,E00004,Learner 00004,learner00004@example.com,Security Analyst,Security,LATAM,M004,Active,True,2023-01-01,HRIS
L00005,E00005,Learner 00005,learner00005@example.com,Sales Engineer,Sales,LATAM,M072,Active,False,2026-01-27,HRIS
L00006,E00006,Learner 00006,learner00006@example.com,Product Manager,Product,EMEA,M067,Active,True,2023-12-08,HRIS
L00007,E00007,Learner 00007,learner00007@example.com,Security Analyst,Security,EMEA,M071,Active,True,2026-04-07,HRIS
L00008,E00008,Learner 00008,learner00008@example.com,HR Business Partner,Human Resources,LATAM,M003,Active,True,2023-09-25,HRIS
L00009,E00009,Learner 00009,learner00009@example.com,Learning Program Manager,Learning and Development,APAC,M014,Active,True,2022-08-23,HRIS
L00010,E00010,Learner 00010,learner00010@example.com,Security Analyst,Security,APAC,M063,Inactive,True,2022-12-04,HRIS
L00011,E00011,Learner 00011,learner00011@example.com,Support Specialist,Support,NA,M064,Active,True,2024-02-16,HRIS
L00012,E00012,Learner 00012,learner00012@example.com,Sales Engineer,Sales,APAC,M017,Active,True,2021-06-06,HRIS
L00013,E00013,Learner 00013,learner00013@example.com,Sales Engineer,Sales,LATAM,M076,Active,True,2021-10-31,HRIS
L00014,E00014,Learner 00014,learner00014@example.com,Implementation Consultant,Professional Services,NA,M080,Active,False,2023-09-04,HRIS
L00015,E00015,Learner 00015,learner00015@example.com,Learning Program Manager,Learning and Development,APAC,M055,Active,True,2023-03-30,HRIS
L00016,E00016,Learner 00016,learner00016@example.com,Implementation Consultant,Professional Services,APAC,M005,Active,True,2023-04-22,HRIS
L00017,E00017,Learner 00017,learner00017@example.com,Security Analyst,Security,APAC,M027,Active,True,2022-06-24,HRIS
L00018,E00018,Learner 00018,learner00018@example.com,Customer Success Manager,Customer Success,EMEA,M012,Active,True,2024-02-14,HRIS
L00019,E00019,Learner 00019,learner00019@example.com,Security Analyst,Security,NA,M063,Active,True,2024-06-30,HRIS
L00020,E00020,Learner 00020,learner00020@example.com,Sales Engineer,Sales,APAC,M023,Active,False,2024-05-26,HRIS
L00021,E00021,Learner 00021,learner00021@example.com,Learning Program Manager,Learning and Development,NA,M027,Active,True,2024-05-20,HRIS
L00022,E00022,Learner 00022,learner00022@example.com,HR Business Partner,Human Resources,APAC,M026,Active,True,2026-04-02,HRIS
